2016302820857	DA000103139593	20160627
2016303911586	DA000107937895	20160815
2016303911590	DA000107937902	20160815
2016303911675	DA000107937953	20160815
2016303942495	DA000108047308	20160816
2016303942512	DA000108046837	20160816
2016305320241	DA000114353416	20161028
2016305320631	DA000114353469	20161028
2016305320646	DA000114353472	20161028
2016305320650	DA000114353475	20161028
2016305321210	DA000114355001	20161028
2016305321225	DA000114355013	20161028
2016305333025	DA000114400362	20161028
201630533303X	DA000114400372	20161028
2016305333044	DA000114400375	20161028
